"","subject","activity","feature","measurement","mean_value"
"1",1,"LAYING","fBodyAcc","mean()",-0.896277044593333
"2",1,"LAYING","fBodyAcc","meanFreq()",0.00939327543266667
"3",1,"LAYING","fBodyAcc","std()",-0.856984850046667
"4",1,"LAYING","fBodyAccJerk","mean()",-0.942532465933333
"5",1,"LAYING","fBodyAccJerk","meanFreq()",0.060440218878
"6",1,"LAYING","fBodyAccJerk","std()",-0.9523218554
"7",1,"LAYING","fBodyAccMag","mean()",-0.8617676481
"8",1,"LAYING","fBodyAccMag","meanFreq()",0.08640856294
"9",1,"LAYING","fBodyAccMag","std()",-0.7983009404
"10",1,"LAYING","fBodyBodyAccJerkMag","mean()",-0.9333003608
"11",1,"LAYING","fBodyBodyAccJerkMag","meanFreq()",0.26639115416
"12",1,"LAYING","fBodyBodyAccJerkMag","std()",-0.9218039756
"13",1,"LAYING","fBodyBodyGyroJerkMag","mean()",-0.9423669466
"14",1,"LAYING","fBodyBodyGyroJerkMag","meanFreq()",0.17648590708
"15",1,"LAYING","fBodyBodyGyroJerkMag","std()",-0.9326606676
"16",1,"LAYING","fBodyBodyGyroMag","mean()",-0.8621901854
"17",1,"LAYING","fBodyBodyGyroMag","meanFreq()",-0.1397750127
"18",1,"LAYING","fBodyBodyGyroMag","std()",-0.82431943968
"19",1,"LAYING","fBodyGyro","mean()",-0.903914463462
"20",1,"LAYING","fBodyGyro","meanFreq()",-0.0282059336926667
"21",1,"LAYING","fBodyGyro","std()",-0.916703669466667
"22",1,"LAYING","tBodyAcc","mean()",0.0226269123102
"23",1,"LAYING","tBodyAcc","std()",-0.863648425482667
"24",1,"LAYING","tBodyAccJerk","mean()",0.0319196581899333
"25",1,"LAYING","tBodyAccJerk","std()",-0.945828832133333
"26",1,"LAYING","tBodyAccJerkMag","mean()",-0.9543962646
"27",1,"LAYING","tBodyAccJerkMag","std()",-0.9282456284
"28",1,"LAYING","tBodyAccMag","mean()",-0.8419291525
"29",1,"LAYING","tBodyAccMag","std()",-0.79514486386
"30",1,"LAYING","tBodyGyro","mean()",0.0225500727313333
"31",1,"LAYING","tBodyGyro","std()",-0.910972990206667
"32",1,"LAYING","tBodyGyroJerk","mean()",-0.074279452394
"33",1,"LAYING","tBodyGyroJerk","std()",-0.948101974666667
"34",1,"LAYING","tBodyGyroJerkMag","mean()",-0.96346103
"35",1,"LAYING","tBodyGyroJerkMag","std()",-0.9358409828
"36",1,"LAYING","tBodyGyroMag","mean()",-0.874759548
"37",1,"LAYING","tBodyGyroMag","std()",-0.81901016976
"38",1,"LAYING","tGravityAcc","mean()",0.300828564993333
"39",1,"LAYING","tGravityAcc","std()",-0.885638771793333
"40",1,"LAYING","tGravityAccMag","mean()",-0.8419291525
"41",1,"LAYING","tGravityAccMag","std()",-0.79514486386
"42",1,"SITTING","fBodyAcc","mean()",-0.960970226099291
"43",1,"SITTING","fBodyAcc","meanFreq()",0.0884207831503546
"44",1,"SITTING","fBodyAcc","std()",-0.942718959219858
"45",1,"SITTING","fBodyAccJerk","mean()",-0.984743193971631
"46",1,"SITTING","fBodyAccJerk","meanFreq()",0.132182203594326
"47",1,"SITTING","fBodyAccJerk","std()",-0.986115362978723
"48",1,"SITTING","fBodyAccMag","mean()",-0.947782922553192
"49",1,"SITTING","fBodyAccMag","meanFreq()",0.236655011680851
"50",1,"SITTING","fBodyAccMag","std()",-0.928444801702128
"51",1,"SITTING","fBodyBodyAccJerkMag","mean()",-0.985262126808511
"52",1,"SITTING","fBodyBodyAccJerkMag","meanFreq()",0.351852201957447
