"subject" "activity" "feature" "measurement" "mean_value"
1 "LAYING" "fBodyAcc" "mean()" -0.896277044593333
1 "LAYING" "fBodyAcc" "meanFreq()" 0.00939327543266667
1 "LAYING" "fBodyAcc" "std()" -0.856984850046667
1 "LAYING" "fBodyAccJerk" "mean()" -0.942532465933333
1 "LAYING" "fBodyAccJerk" "meanFreq()" 0.060440218878
1 "LAYING" "fBodyAccJerk" "std()" -0.9523218554
1 "LAYING" "fBodyAccMag" "mean()" -0.8617676481
1 "LAYING" "fBodyAccMag" "meanFreq()" 0.08640856294
1 "LAYING" "fBodyAccMag" "std()" -0.7983009404
1 "LAYING" "fBodyBodyAccJerkMag" "mean()" -0.9333003608
1 "LAYING" "fBodyBodyAccJerkMag" "meanFreq()" 0.26639115416
1 "LAYING" "fBodyBodyAccJerkMag" "std()" -0.9218039756
1 "LAYING" "fBodyBodyGyroJerkMag" "mean()" -0.9423669466
1 "LAYING" "fBodyBodyGyroJerkMag" "meanFreq()" 0.17648590708
1 "LAYING" "fBodyBodyGyroJerkMag" "std()" -0.9326606676
1 "LAYING" "fBodyBodyGyroMag" "mean()" -0.8621901854
1 "LAYING" "fBodyBodyGyroMag" "meanFreq()" -0.1397750127
1 "LAYING" "fBodyBodyGyroMag" "std()" -0.82431943968
1 "LAYING" "fBodyGyro" "mean()" -0.903914463462
1 "LAYING" "fBodyGyro" "meanFreq()" -0.0282059336926667
1 "LAYING" "fBodyGyro" "std()" -0.916703669466667
1 "LAYING" "tBodyAcc" "mean()" 0.0226269123102
1 "LAYING" "tBodyAcc" "std()" -0.863648425482667
1 "LAYING" "tBodyAccJerk" "mean()" 0.0319196581899333
1 "LAYING" "tBodyAccJerk" "std()" -0.945828832133333
1 "LAYING" "tBodyAccJerkMag" "mean()" -0.9543962646
1 "LAYING" "tBodyAccJerkMag" "std()" -0.9282456284
1 "LAYING" "tBodyAccMag" "mean()" -0.8419291525
1 "LAYING" "tBodyAccMag" "std()" -0.79514486386
1 "LAYING" "tBodyGyro" "mean()" 0.0225500727313333
1 "LAYING" "tBodyGyro" "std()" -0.910972990206667
1 "LAYING" "tBodyGyroJerk" "mean()" -0.074279452394
1 "LAYING" "tBodyGyroJerk" "std()" -0.948101974666667
1 "LAYING" "tBodyGyroJerkMag" "mean()" -0.96346103
1 "LAYING" "tBodyGyroJerkMag" "std()" -0.9358409828
1 "LAYING" "tBodyGyroMag" "mean()" -0.874759548
1 "LAYING" "tBodyGyroMag" "std()" -0.81901016976
1 "LAYING" "tGravityAcc" "mean()" 0.300828564993333
1 "LAYING" "tGravityAcc" "std()" -0.885638771793333
1 "LAYING" "tGravityAccMag" "mean()" -0.8419291525
1 "LAYING" "tGravityAccMag" "std()" -0.79514486386
1 "SITTING" "fBodyAcc" "mean()" -0.960970226099291
1 "SITTING" "fBodyAcc" "meanFreq()" 0.0884207831503546
1 "SITTING" "fBodyAcc" "std()" -0.942718959219858
1 "SITTING" "fBodyAccJerk" "mean()" -0.984743193971631
1 "SITTING" "fBodyAccJerk" "meanFreq()" 0.132182203594326
1 "SITTING" "fBodyAccJerk" "std()" -0.986115362978723
1 "SITTING" "fBodyAccMag" "mean()" -0.947782922553192
1 "SITTING" "fBodyAccMag" "meanFreq()" 0.236655011680851
1 "SITTING" "fBodyAccMag" "std()" -0.928444801702128
1 "SITTING" "fBodyBodyAccJerkMag" "mean()" -0.985262126808511
1 "SITTING" "fBodyBodyAccJerkMag" "meanFreq()" 0.351852201957447
1 "SITTING" "fBodyBodyAccJerkMag" "std()" -0.981606177446808
1 "SITTING" "fBodyBodyGyroJerkMag" "mean()" -0.989797547234043
1 "SITTING" "fBodyBodyGyroJerkMag" "meanFreq()" 0.184775928085106
1 "SITTING" "fBodyBodyGyroJerkMag" "std()" -0.987049617234043
1 "SITTING" "fBodyBodyGyroMag" "mean()" -0.958435589361702
1 "SITTING" "fBodyBodyGyroMag" "meanFreq()" -0.000262186717021277
1 "SITTING" "fBodyBodyGyroMag" "std()" -0.932198374893617
